"","spp","year","site","mean","sd"
"1","ASW",2000,"Lowland",0.1,0.316227766016838
"2","ASW",2000,"Midland",0.4,0.903507902905251
"3","ASW",2000,"Upland",0.181818181818182,0.552173075126907
"4","ASW",2001,"Midland",0.166666666666667,0.481543412343077
"5","ASW",2001,"Upland",0.384615384615385,0.952887174232866
"6","ASW",2002,"Lowland",NA,NA
"7","ASW",2002,"Midland",0.363636363636364,1.20604537831105
"8","ASW",2002,"Upland",0.333333333333333,0.912870929175277
"9","ASW",2003,"Lowland",0,0
"10","ASW",2003,"Midland",0.0909090909090909,0.522232967867094
"11","ASW",2003,"Upland",0.28125,0.851350918891132
"12","ASW",2004,"Lowland",0.0731707317073171,0.343564747788411
"13","ASW",2004,"Midland",0.282258064516129,1.02457989702199
"14","ASW",2004,"Upland",0.145833333333333,0.460784868496635
"15","ASW",2005,"Lowland",0.0487804878048781,0.312347523777212
"16","ASW",2005,"Midland",0.213333333333333,0.66359653431913
"17","ASW",2005,"Upland",0.272727272727273,0.7806584460746
"18","ASW",2006,"Lowland",0,0
"19","ASW",2006,"Midland",0.19047619047619,0.511766315719159
"20","ASW",2006,"Upland",0.12,0.33166247903554
"21","ASW",2007,"Lowland",0.128205128205128,0.409073869245305
"22","ASW",2007,"Midland",0.145833333333333,0.460784868496635
"23","ASW",2007,"Upland",0.2,0.451753951452626
"24","ASW",2008,"Lowland",0.0379746835443038,0.250283837574183
"25","ASW",2008,"Midland",0.148936170212766,0.789139272613443
"26","ASW",2008,"Upland",0.142857142857143,0.461192381440124
"27","ASW",2009,"Lowland",0.114285714285714,0.403763804821623
"28","ASW",2009,"Midland",0.172413793103448,0.652604257570693
"29","ASW",2009,"Upland",0.142857142857143,0.470317081001772
"30","ASW",2010,"Lowland",0.0344827586206897,0.185695338177052
"31","ASW",2010,"Midland",0.102040816326531,0.586120648813865
"32","ASW",2010,"Upland",0.193548387096774,0.601074307037529
"33","ASW",2011,"Lowland",0,0
"34","ASW",2011,"Midland",0.28,1.06144555520604
"35","ASW",2011,"Upland",0.189189189189189,0.700707493174571
"36","ASW",2012,"Lowland",0.0263157894736842,0.162221421130763
"37","ASW",2012,"Midland",0,0
"38","ASW",2012,"Upland",0.131578947368421,0.499122036197105
"39","ASW",2013,"Lowland",0,0
"40","ASW",2013,"Midland",0.282051282051282,1.0246621509633
"41","ASW",2013,"Upland",0.107142857142857,0.365740664633062
"42","ASW",2014,"Lowland",0,0
"43","ASW",2014,"Midland",0.285714285714286,0.763762615825973
"44","ASW",2014,"Upland",0.117647058823529,0.332105582077536
"45","ASW",2015,"Lowland",0,0
"46","ASW",2015,"Midland",0.0714285714285714,0.267261241912424
"47","ASW",2015,"Upland",0.138888888888889,0.542627353203324
"48","ASW",2016,"Lowland",0,0
"49","ASW",2016,"Midland",0.208333333333333,0.832970935693524
"50","ASW",2016,"Upland",0.0714285714285714,0.267261241912424
"51","BFMON",2000,"Lowland",0.1,0.316227766016838
"52","BFMON",2000,"Midland",0.8,1.03015750727543
"53","BFMON",2000,"Upland",0.212121212121212,0.62054942194928
"54","BFMON",2001,"Midland",1.20833333333333,1.31807391317016
"55","BFMON",2001,"Upland",0.0384615384615385,0.194183909345154
"56","BFMON",2002,"Lowland",1.25,1.89296944860009
"57","BFMON",2002,"Midland",0.636363636363636,1.02691063610494
"58","BFMON",2002,"Upland",0.285714285714286,0.643650304346789
"59","BFMON",2003,"Lowland",NA,NA
"60","BFMON",2003,"Midland",0.848484848484849,1.22783376626307
"61","BFMON",2003,"Upland",0.625,0.94185814971977
"62","BFMON",2004,"Lowland",0.292682926829268,0.598099972609741
"63","BFMON",2004,"Midland",0.379032258064516,0.693673407086451
"64","BFMON",2004,"Upland",0.3125,0.55183446484951
"65","BFMON",2005,"Lowland",0.51219512195122,0.95189156996772
"66","BFMON",2005,"Midland",0.586666666666667,0.855717390411257
"67","BFMON",2005,"Upland",0.418181818181818,0.737636593525392
"68","BFMON",2006,"Lowland",0.391304347826087,0.838783233173485
"69","BFMON",2006,"Midland",0.19047619047619,0.402373908081478
"70","BFMON",2006,"Upland",0.08,0.276887462097269
"71","BFMON",2007,"Lowland",0.564102564102564,0.882427029780927
"72","BFMON",2007,"Midland",0.354166666666667,0.785224817606013
"73","BFMON",2007,"Upland",0.14,0.404565778814466
"74","BFMON",2008,"Lowland",0.316455696202532,0.760301960887882
"75","BFMON",2008,"Midland",0.372340425531915,0.655564150928506
"76","BFMON",2008,"Upland",0.0769230769230769,0.306622070335933
"77","BFMON",2009,"Lowland",0.0571428571428571,0.338061701891407
"78","BFMON",2009,"Midland",0.120689655172414,0.378250182077926
"79","BFMON",2009,"Upland",0.111111111111111,0.54213172756798
"80","BFMON",2010,"Lowland",0.206896551724138,0.491303684440517
"81","BFMON",2010,"Midland",0.306122448979592,0.619276514459045
"82","BFMON",2010,"Upland",0.225806451612903,0.668813746836135
"83","BFMON",2011,"Lowland",0.166666666666667,0.408248290463863
"84","BFMON",2011,"Midland",0.8,1.38443731048635
"85","BFMON",2011,"Upland",0.243243243243243,0.596536550310084
"86","BFMON",2012,"Lowland",0.105263157894737,0.311011747775905
"87","BFMON",2012,"Midland",0.763157894736842,1.40335910771486
"88","BFMON",2012,"Upland",0.197368421052632,0.542088230016855
"89","BFMON",2013,"Lowland",0.272727272727273,0.646669790682863
"90","BFMON",2013,"Midland",0.615384615384615,1.09100110027888
"91","BFMON",2013,"Upland",0.357142857142857,0.88273482950475
"92","BFMON",2014,"Lowland",0.181818181818182,0.603022689155527
"93","BFMON",2014,"Midland",0.510204081632653,1.19237943100466
"94","BFMON",2014,"Upland",0.0588235294117647,0.242535625036333
"95","BFMON",2015,"Lowland",0,0
"96","BFMON",2015,"Midland",0.357142857142857,0.633323693776651
"97","BFMON",2015,"Upland",0,0
"98","BFMON",2016,"Lowland",0.0909090909090909,0.301511344577764
"99","BFMON",2016,"Midland",NA,NA
"100","BFMON",2016,"Upland",0.5,0.85485041426511
"101","BGER",2000,"Lowland",4.2,4.26354052141853
"102","BGER",2000,"Midland",2.96,2.1377080994297
"103","BGER",2000,"Upland",0.681818181818182,1.0835708902171
"104","BGER",2001,"Midland",3.33333333333333,2.69728795623318
"105","BGER",2001,"Upland",0.423076923076923,1.10872040440469
"106","BGER",2002,"Lowland",NA,NA
"107","BGER",2002,"Midland",2.27272727272727,2.41209075662211
"108","BGER",2002,"Upland",0.714285714285714,1.48804761828569
"109","BGER",2003,"Lowland",5.33333333333333,8.26236447190916
"110","BGER",2003,"Midland",2.90909090909091,2.32330094321146
"111","BGER",2003,"Upland",2.3125,3.19715094944677
"112","BGER",2004,"Lowland",2.35365853658537,2.84744612114566
"113","BGER",2004,"Midland",4.78225806451613,3.68155252658875
"114","BGER",2004,"Upland",1.91666666666667,2.35952874246635
"115","BGER",2005,"Lowland",1.5609756097561,2.07423215296414
"116","BGER",2005,"Midland",3.37333333333333,3.00797738155192
"117","BGER",2005,"Upland",2.16363636363636,3.13737113569588
"118","BGER",2006,"Lowland",2,3.37099931231621
"119","BGER",2006,"Midland",4,2.84604989415154
"120","BGER",2006,"Upland",1.2,2.38047614284762
"121","BGER",2007,"Lowland",2.53846153846154,2.50101194094409
"122","BGER",2007,"Midland",3.70833333333333,2.34256027723563
"123","BGER",2007,"Upland",0.7,1.44631833795118
"124","BGER",2008,"Lowland",1.59493670886076,2.57462462955716
"125","BGER",2008,"Midland",4.19148936170213,2.68919221090599
"126","BGER",2008,"Upland",1.10989010989011,2.1676948814123
"127","BGER",2009,"Lowland",1.14285714285714,1.70022242736679
"128","BGER",2009,"Midland",3.82758620689655,2.45047744030025
"129","BGER",2009,"Upland",0.841269841269841,1.65788778567255
"130","BGER",2010,"Lowland",1.51724137931034,1.45456644633307
"131","BGER",2010,"Midland",3.97959183673469,3.50291423863978
"132","BGER",2010,"Upland",0.903225806451613,1.95541706906187
"133","BGER",2011,"Lowland",1.16666666666667,1.16904519445001
"134","BGER",2011,"Midland",2.24,2.29637395328664
"135","BGER",2011,"Upland",1.40540540540541,2.14034601900746
