id,spp,site,mean,sd,ymin,ymax
5,ASW,WT1000,0.233050847,0.678490827,0,0.911541674
6,ASW,WT1200,0.352941176,1.011520096,0,1.364461273
1,ASW,WT200,0.06122449,0.316765112,0,0.377989602
2,ASW,WT400,0.075471698,0.33102734,0,0.406499039
3,ASW,WT600,0.121621622,0.466778605,0,0.588400226
4,ASW,WT800,0.302904564,0.946238093,0,1.249142657
11,BFMON,WT1000,0.372881356,0.729868658,0,1.102750014
12,BFMON,WT1200,0.176470588,0.520523526,0,0.696994115
7,BFMON,WT200,0.177777778,0.490310147,0,0.668087925
8,BFMON,WT400,0.4,0.784101278,0,1.184101278
9,BFMON,WT600,0.675675676,1.021791445,0,1.69746712
10,BFMON,WT800,0.67219917,1.026936655,0,1.699135825
17,BGER,WT1000,1.529661017,2.195539359,0,3.725200376
18,BGER,WT1200,0,0,0,0
13,BGER,WT200,1.510204082,3.398053665,0,4.908257746
14,BGER,WT400,3.79245283,3.277889158,0.514563673,7.070341988
15,BGER,WT600,4.5,3.214905354,1.285094646,7.714905354
16,BGER,WT800,3.44813278,2.900863133,0.547269647,6.348995913
23,BHE,WT1000,2.540178571,2.624170501,0,5.164349073
24,BHE,WT1200,2.32,1.994158135,0.325841865,4.314158135
19,BHE,WT200,0.081632653,0.571428571,0,0.653061224
20,BHE,WT400,0.280701754,0.818412792,0,1.099114547
21,BHE,WT600,0.84057971,1.389278149,0,2.22985786
22,BHE,WT800,1.646808511,1.984647385,0,3.631455895
29,BPIG,WT1000,0.919491525,1.151262654,0,2.070754179
30,BPIG,WT1200,1,0.984731928,0.015268072,1.984731928
25,BPIG,WT200,0.489795918,0.767095414,0,1.256891332
26,BPIG,WT400,1.052631579,1.684181156,0,2.736812735
27,BPIG,WT600,1.459459459,1.39656319,0.062896269,2.85602265
28,BPIG,WT800,1.560165975,1.621955601,0,3.182121576
35,BST,WT1000,1.724576271,1.591329509,0.133246762,3.31590578
36,BST,WT1200,0.735294118,1.16277681,0,1.898070928
31,BST,WT200,NA,NA,NA,NA
32,BST,WT400,NA,NA,NA,NA
33,BST,WT600,1.972972973,1.767073062,0.205899911,3.740046034
34,BST,WT800,1.809128631,1.553517403,0.255611228,3.362646034
41,CAT,WT1000,1.56779661,1.437958444,0.129838166,3.005755054
42,CAT,WT1200,0.529411765,0.748140892,0,1.277552657
37,CAT,WT200,0.822222222,1.211477102,0,2.033699324
38,CAT,WT400,1.454545455,1.708564286,0,3.16310974
39,CAT,WT600,2.378378378,1.921063509,0.457314869,4.299441887
40,CAT,WT800,2.174273859,1.853690573,0.320583286,4.027964432
47,CC,WT1000,1.512711864,1.601809966,0,3.114521831
48,CC,WT1200,0.823529412,1.166984932,0,1.990514344
43,CC,WT200,0.555555556,0.867482134,0,1.423037689
44,CC,WT400,0.963636364,1.24667909,0,2.210315454
45,CC,WT600,1.486486486,1.387253552,0.099232934,2.873740039
46,CC,WT800,1.751037344,1.490333073,0.260704271,3.241370418
53,CURR,WT1000,0.398305085,0.831710163,0,1.230015248
54,CURR,WT1200,1.882352941,2.085515791,0,3.967868732
49,CURR,WT200,0,0,0,0
50,CURR,WT400,0.122807018,0.331133089,0,0.453940107
51,CURR,WT600,0.162162162,0.497308565,0,0.659470727
52,CURR,WT800,0.261410788,0.786689054,0,1.048099843
59,EWB,WT1000,1.949152542,1.702800985,0.246351558,3.651953527
60,EWB,WT1200,1.147058824,1.158168694,0,2.305227518
55,EWB,WT200,0.897959184,1.530861658,0,2.428820841
56,EWB,WT400,1.245614035,1.661332316,0,2.906946351
57,EWB,WT600,1.959459459,1.599993058,0.359466401,3.559452518
58,EWB,WT800,2.406639004,1.859826804,0.5468122,4.266465808
65,FTCUC,WT1000,0.105932203,0.471988527,0,0.577920731
66,FTCUC,WT1200,0,0,0,0
61,FTCUC,WT200,0.040816327,0.199914948,0,0.240731274
62,FTCUC,WT400,0.075471698,0.266678761,0,0.342150459
63,FTCUC,WT600,0.108108108,0.312636494,0,0.420744602
64,FTCUC,WT800,0.066390041,0.335023378,0,0.40141342
71,FW,WT1000,0.745762712,1.153617368,0,1.89938008
72,FW,WT1200,1.382352941,1.348730175,0.033622767,2.731083116
67,FW,WT200,0.020408163,0.142857143,0,0.163265306
68,FW,WT400,0.157894737,0.413585096,0,0.571479833
69,FW,WT600,0.884057971,1.243054018,0,2.127111989
70,FW,WT800,0.910638298,1.266132486,0,2.176770784
77,GFAN,WT1000,1.546610169,1.298914912,0.247695257,2.845525082
78,GFAN,WT1200,1.529411765,1.134454725,0.39495704,2.663866489
73,GFAN,WT200,0.510204082,0.960087864,0,1.470291946
74,GFAN,WT400,0.50877193,0.947229174,0,1.456001104
75,GFAN,WT600,1.108108108,1.222702683,0,2.330810791
76,GFAN,WT800,1.31120332,1.287212348,0.023990971,2.598415668
83,GHE,WT1000,0.016949153,0.158881776,0,0.175830928
84,GHE,WT1200,0,0,0,0
79,GHE,WT200,3.673469388,2.085543046,1.587926342,5.759012434
80,GHE,WT400,3.245614035,2.140433048,1.105180987,5.386047083
81,GHE,WT600,1.121621622,1.82037707,0,2.941998692
82,GHE,WT800,0.423236515,1.229549165,0,1.652785679
89,GHR,WT1000,2.940677966,1.360803098,1.579874869,4.301481064
90,GHR,WT1200,2.470588235,1.079710795,1.39087744,3.55029903
85,GHR,WT200,0.822222222,1.05073327,0,1.872955492
86,GHR,WT400,1.545454545,1.411830724,0.133623821,2.957285269
87,GHR,WT600,1.689189189,1.281327177,0.407862013,2.970516366
88,GHR,WT800,2.282157676,1.276083327,1.006074349,3.558241004
95,GOLDBB,WT1000,0.245535714,0.550155036,0,0.79569075
96,GOLDBB,WT1200,0.32,0.556776436,0,0.876776436
91,GOLDBB,WT200,NA,NA,NA,NA
92,GOLDBB,WT400,NA,NA,NA,NA
93,GOLDBB,WT600,0.040540541,0.258509383,0,0.299049923
94,GOLDBB,WT800,0.041493776,0.199844338,0,0.241338114
101,GOLDW,WT1000,1.305084746,1.423262507,0,2.728347252
102,GOLDW,WT1200,1.941176471,1.791244302,0.149932169,3.732420773
97,GOLDW,WT200,0.142857143,0.456435465,0,0.599292607
98,GOLDW,WT400,0.315789474,0.631265586,0,0.94705506
99,GOLDW,WT600,1.783783784,1.815234392,0,3.599018176
100,GOLDW,WT800,1.701244813,1.446964677,0.254280136,3.148209491
107,LBSW,WT1000,1.487288136,1.942757269,0,3.430045405
108,LBSW,WT1200,1.235294118,1.51874796,0,2.754042077
103,LBSW,WT200,1.355555556,2.001766896,0,3.357322452
104,LBSW,WT400,1.890909091,2.087642009,0,3.9785511
105,LBSW,WT600,2.162162162,2.739998135,0,4.902160297
106,LBSW,WT800,2.265560166,2.29220068,0,4.557760846
