,X,year,MSI,sd_MSI,lower_CL_MSI,upper_CL_MSI,Trend,lower_CL_trend,upper_CL_trend,trend_class,indicator
1,1,2000,98.89,0,98.89,98.89,100,98.38,101.38,moderate_decline,All species
2,2,2001,100.93,1.75,97.56,104.42,97.91,96.44,99.37,moderate_decline,All species
3,3,2002,100.34,1.67,97.12,103.65,96.72,95.48,98.38,moderate_decline,All species
4,4,2003,87.73,1.23,85.35,90.16,96.24,94.53,97.4,moderate_decline,All species
5,5,2004,89.09,1.5,86.19,92.1,96.36,94.53,97.4,moderate_decline,All species
6,6,2005,113.85,2.01,109.97,117.85,97.55,96.44,99.37,moderate_decline,All species
7,7,2006,93.57,1.55,90.59,96.66,99.24,97.4,101.38,moderate_decline,All species
8,8,2007,101.4,1.72,98.08,104.81,100.44,99.37,102.4,moderate_decline,All species
9,9,2008,100.31,1.82,96.79,103.94,101.43,99.37,103.43,moderate_decline,All species
10,10,2009,101.07,1.79,97.63,104.64,103.13,101.38,104.47,moderate_decline,All species
11,11,2010,106.99,1.9,103.34,110.77,104.27,102.4,105.52,moderate_decline,All species
12,12,2011,98.43,1.72,95.11,101.87,103.24,101.38,104.47,moderate_decline,All species
13,13,2012,111.32,2,107.49,115.3,101.35,99.37,103.43,moderate_decline,All species
14,14,2013,100.92,1.81,97.43,104.53,98.92,97.4,100.37,moderate_decline,All species
15,15,2014,81.68,1.44,78.9,84.56,95.83,94.53,97.4,moderate_decline,All species
16,16,2015,98,1.78,94.58,101.56,92.26,90.82,93.59,moderate_decline,All species
17,17,2016,89.47,1.57,86.44,92.61,88.23,85.53,90.82,NA,All species
18,1,2000,97.54,0,97.54,97.54,100,99,100.99,moderate_decline,Rainforest specialists
19,2,2001,103.03,1.81,99.53,106.64,100.08,99,100.99,moderate_decline,Rainforest specialists
20,3,2002,101.21,1.64,98.04,104.48,99.51,98.01,100.99,moderate_decline,Rainforest specialists
21,4,2003,102.32,1.67,99.09,105.65,98.26,97.03,99.99,moderate_decline,Rainforest specialists
22,5,2004,81.19,1.46,78.37,84.11,96.46,95.11,98.01,moderate_decline,Rainforest specialists
23,6,2005,116.3,1.82,112.79,119.93,93.73,92.3,95.11,moderate_decline,Rainforest specialists
24,7,2006,84.35,1.43,81.58,87.21,90.97,89.57,92.3,moderate_decline,Rainforest specialists
25,8,2007,86.21,1.51,83.29,89.24,88.83,87.8,90.47,moderate_decline,Rainforest specialists
26,9,2008,89.03,1.49,86.17,92,86.94,85.21,88.68,moderate_decline,Rainforest specialists
27,10,2009,80.14,1.37,77.51,82.87,86.47,85.21,87.8,moderate_decline,Rainforest specialists
28,11,2010,96.93,1.58,93.89,100.07,85.98,84.36,87.8,moderate_decline,Rainforest specialists
29,12,2011,74.53,1.3,72.04,77.11,83.59,82.69,85.21,moderate_decline,Rainforest specialists
30,13,2012,91.67,1.65,88.49,94.95,81.38,80.24,82.69,stable,Rainforest specialists
31,14,2013,82.51,1.39,79.83,85.29,80.21,78.65,81.05,stable,Rainforest specialists
32,15,2014,61.72,1.04,59.7,63.81,79.52,78.65,81.05,stable,Rainforest specialists
33,16,2015,88.39,1.58,85.35,91.54,79.6,77.87,81.05,stable,Rainforest specialists
34,17,2016,82.01,1.42,79.26,84.85,80.34,77.87,82.69,NA,Rainforest specialists
35,1,2000,99.58,0,99.58,99.58,100,97.1,102.08,moderate_decline,Endemic species
36,2,2001,95.91,2.72,90.74,101.39,92.12,90.54,94.23,moderate_decline,Endemic species
37,3,2002,84.67,2.42,80.06,89.55,86.36,84.42,88.75,moderate_decline,Endemic species
38,4,2003,85.49,2.41,80.9,90.33,82.23,80.3,84.42,moderate_decline,Endemic species
39,5,2004,57.26,1.93,53.6,61.17,79.28,77.15,81.92,moderate_decline,Endemic species
40,6,2005,107.41,2.85,101.97,113.14,77.83,75.62,80.3,moderate_decline,Endemic species
41,7,2006,70.9,2.51,66.14,76,77.14,74.87,79.5,moderate_decline,Endemic species
42,8,2007,79.04,2.43,74.42,83.96,76.67,74.87,78.71,moderate_decline,Endemic species
43,9,2008,71.6,2.07,67.65,75.77,75.74,73.39,77.93,moderate_decline,Endemic species
44,10,2009,69.87,2.09,65.89,74.1,72.66,70.51,74.87,moderate_decline,Endemic species
45,11,2010,81.84,2.32,77.41,86.52,69.55,67.75,71.94,stable,Endemic species
46,12,2011,61.1,1.93,57.43,65.01,67.29,65.09,69.11,stable,Endemic species
47,13,2012,62.65,2.32,58.27,67.37,65.61,63.8,67.75,stable,Endemic species
48,14,2013,67.91,1.99,64.12,71.92,64.82,63.17,66.4,stable,Endemic species
49,15,2014,57.05,1.62,53.95,60.32,64.6,63.17,66.4,stable,Endemic species
50,16,2015,75.78,2.36,71.29,80.56,65.1,63.17,67.07,stable,Endemic species
51,17,2016,62.72,1.75,59.37,66.26,66.27,63.17,69.11,NA,Endemic species
52,1,2000,101.99,0,101.99,101.99,100,96.51,103.51,moderate_increase,Habitat generalists
53,2,2001,96.46,3.75,89.38,104.11,93.28,90.89,95.55,moderate_increase,Habitat generalists
54,3,2002,98.49,4.01,90.95,106.66,90.84,88.21,93.66,moderate_increase,Habitat generalists
55,4,2003,62.18,1.63,59.07,65.45,92,89.09,94.6,moderate_increase,Habitat generalists
56,5,2004,109.95,4.06,102.27,118.2,96.23,92.73,99.45,moderate_increase,Habitat generalists
57,6,2005,108.82,4.82,99.76,118.71,106.76,103.51,111.02,stable,Habitat generalists
58,7,2006,117.86,4.5,109.36,127.02,120.61,116.71,125.17,moderate_decline,Habitat generalists
59,8,2007,145.59,5.53,135.14,156.83,132.19,127.7,136.96,moderate_decline,Habitat generalists
60,9,2008,131.02,5.87,120,143.05,143.1,136.96,148.36,moderate_decline,Habitat generalists
61,10,2009,169.73,7.12,156.34,184.26,152.82,146.89,159.12,moderate_decline,Habitat generalists
62,11,2010,133.26,5.77,122.4,145.07,160.38,154.42,167.28,moderate_decline,Habitat generalists
63,12,2011,183.13,7.54,168.94,198.51,165.4,159.12,172.37,moderate_decline,Habitat generalists
64,13,2012,171.7,7.13,158.3,186.26,165.35,159.12,172.37,moderate_decline,Habitat generalists
65,14,2013,158.18,6.64,145.68,171.75,157.92,152.88,163.97,moderate_decline,Habitat generalists
66,15,2014,152.63,6.34,140.69,165.59,145.31,139.72,149.86,moderate_decline,Habitat generalists
67,16,2015,123.63,5.19,113.86,134.22,128.22,122.69,134.25,moderate_decline,Habitat generalists
68,17,2016,108.55,4.64,99.84,118.04,108.76,101.46,116.71,NA,Habitat generalists
69,1,2000,130.18,0,130.18,130.18,100,94.99,104.98,moderate_increase,Lowland species
70,2,2001,77.33,4.58,68.84,86.87,113.04,109.26,117.19,moderate_increase,Lowland species
71,3,2002,124.69,5.32,114.68,135.57,126.88,121.97,132.13,moderate_increase,Lowland species
72,4,2003,142.39,6.43,130.33,155.57,141.59,136.15,147.49,moderate_increase,Lowland species
73,5,2004,158.04,6.44,145.92,171.19,155.71,150.47,161.38,moderate_increase,Lowland species
74,6,2005,169.46,6.78,156.69,183.28,167.2,161.38,173.08,stable,Lowland species
75,7,2006,209.83,8.15,194.44,226.44,175.01,167.97,181.96,stable,Lowland species
76,8,2007,151.27,6.18,139.62,163.89,173.29,166.3,180.15,stable,Lowland species
77,9,2008,169.08,6.94,156.03,183.24,169.81,163,176.58,stable,Lowland species
78,10,2009,153.19,6.26,141.38,165.97,170.97,164.64,176.58,stable,Lowland species
79,11,2010,179.09,7.21,165.5,193.81,172.1,164.64,178.35,stable,Lowland species
80,12,2011,199.64,8.31,184,216.6,175.49,169.66,181.96,stable,Lowland species
81,13,2012,178.62,7.15,165.16,193.19,179.14,173.08,185.63,stable,Lowland species
82,14,2013,158.52,6.33,146.6,171.43,180.51,174.82,187.5,stable,Lowland species
83,15,2014,166,6.59,153.58,179.41,180,173.08,185.63,stable,Lowland species
84,16,2015,237.86,9.79,219.43,257.85,176.97,169.66,183.79,stable,Lowland species
85,17,2016,149.68,6.2,138.02,162.33,172.22,161.38,183.79,NA,Lowland species
86,1,2000,98.37,0,98.37,98.37,100,97.86,101.86,moderate_decline,Midland species
87,2,2001,107.62,2.13,103.51,111.88,99.45,97.86,100.84,moderate_decline,Midland species
88,3,2002,95.04,2.59,90.11,100.24,99,96.89,100.84,moderate_decline,Midland species
89,4,2003,88.76,1.51,85.85,91.78,98.39,96.89,100.84,moderate_decline,Midland species
90,5,2004,98.97,2.19,94.77,103.36,97.59,95.93,99.84,moderate_decline,Midland species
91,6,2005,107.16,3.08,101.3,113.36,96.89,94.97,98.85,moderate_decline,Midland species
92,7,2006,94.41,2.28,90.05,98.98,96.08,94.03,98.85,moderate_decline,Midland species
93,8,2007,89.77,2.15,85.65,94.09,93.46,91.25,95.93,moderate_decline,Midland species
94,9,2008,95.88,2.31,91.46,100.53,90.9,88.55,93.09,moderate_decline,Midland species
95,10,2009,80.83,2.05,76.91,84.95,91.5,89.44,93.09,moderate_decline,Midland species
96,11,2010,102.46,2.56,97.57,107.61,92.05,90.34,94.03,moderate_decline,Midland species
97,12,2011,78.97,1.98,75.19,82.93,90.13,88.55,92.16,moderate_decline,Midland species
98,13,2012,109.47,2.49,104.69,114.45,87.89,85.93,90.34,moderate_decline,Midland species
99,14,2013,86.1,2.15,81.97,90.43,85.83,84.23,87.67,moderate_decline,Midland species
100,15,2014,63.74,1.72,60.45,67.22,83.63,81.74,85.93,moderate_decline,Midland species
101,16,2015,90.06,2.55,85.2,95.19,81.41,79.33,84.23,moderate_decline,Midland species
102,17,2016,81.37,2.33,76.94,86.07,79.18,75.46,82.56,NA,Midland species
103,1,2000,94.32,0,94.32,94.32,100,97.66,102.66,moderate_decline,Upland species
104,2,2001,92.81,2.36,88.3,97.54,88.13,86.61,90.15,moderate_decline,Upland species
105,3,2002,85.35,2.11,81.3,89.6,79.28,77.59,80.76,moderate_decline,Upland species
106,4,2003,75.91,1.93,72.22,79.81,72.81,70.91,74.55,moderate_decline,Upland species
107,5,2004,52.99,1.68,49.8,56.39,68.3,66.78,70.21,moderate_decline,Upland species
108,6,2005,86.5,2.22,82.25,90.95,65.97,64.17,67.46,moderate_decline,Upland species
109,7,2006,49.96,1.52,47.08,53.02,65.02,63.53,66.78,moderate_decline,Upland species
110,8,2007,77.39,2.19,73.23,81.8,66.05,64.17,67.46,moderate_decline,Upland species
111,9,2008,65.24,1.74,61.9,68.75,67.24,65.46,68.82,moderate_decline,Upland species
112,10,2009,68.56,1.92,64.88,72.44,66.59,64.81,68.13,moderate_decline,Upland species
113,11,2010,68.08,1.91,64.41,71.94,65.32,63.53,66.78,moderate_decline,Upland species
114,12,2011,55.76,1.64,52.63,59.08,62.14,60.43,63.53,moderate_decline,Upland species
115,13,2012,62.1,2.01,58.29,66.16,59.03,57.48,60.43,moderate_decline,Upland species
116,14,2013,61.31,1.71,58.06,64.75,57.25,55.78,58.64,stable,Upland species
117,15,2014,47.1,1.2,44.82,49.5,56.01,54.68,57.48,stable,Upland species
118,16,2015,56.04,1.55,53.09,59.16,55.53,54.13,56.91,stable,Upland species
119,17,2016,58.42,1.52,55.51,61.48,55.64,53.6,58.06,NA,Upland species
