,subregion_id,plotname,region,location_y,location_x,countdate,year,countdate_cluster,year_cluster,dem250,plot_nr,plot_name,elevation,plotweight,cov1,ASW,BFMON,BGER,BHE,BPIG,BST,CAT,CC,CURR,EWB,FTCUC,FW,GFAN,GHE,GHR,GOLDBB,GOLDW,LBSW,LEWHE,LST,MACHE,MTB,MTHORN,OFSF,PYR,RFAN,RL,SATBB,SBCUC,SBL,SCC,SD,SFD,SMON,TBBB,VRIF,VT,WOMP,WTTC,YBBB,YSHE,YTSW,site
2837,BL,BL200,WT,-15.83022229,145.3321259,10-Aug-08,2008,1/01/2002,3,53,200,WT200,lowland,1,1,0,0,0,2,0,NA,0,0,0,0,0,0,0,3,0,NA,0,0,0,2,1,0,NA,0,0,1,3,NA,0,0,0,0,1,3,NA,0,1,1,0,0,6,0,BL200
2840,BL,BL200,WT,-15.80726302,145.3163059,10-Aug-08,2008,1/01/2002,3,154,200,WT200,lowland,1,1,0,0,0,5,0,NA,2,0,0,0,0,0,0,1,0,NA,0,0,0,0,2,1,NA,0,0,0,1,NA,0,0,1,0,0,0,NA,1,1,0,0,0,5,0,BL200
2842,BL,BL200,WT,-15.80003479,145.3118481,10-Aug-08,2008,1/01/2002,3,227,200,WT200,lowland,1,1,0,0,0,0,0,NA,4,0,0,0,0,0,0,5,0,NA,0,2,0,1,2,1,NA,0,0,0,7,NA,0,0,15,0,0,0,NA,0,1,0,0,0,6,0,BL200
2898,FU,FU400,WT,-15.7811481,145.287711,10-Aug-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,2,0,NA,0,0,0,2,1,1,NA,0,0,0,1,NA,0,0,1,0,0,1,NA,1,4,0,0,0,7,0,FU400
2899,FU,FU400,WT,-15.78112995,145.2888497,10-Aug-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,0,0,0,NA,3,0,0,0,0,0,1,3,0,NA,0,0,0,5,2,1,NA,0,0,0,1,NA,0,0,5,0,2,0,NA,0,3,1,0,0,7,0,FU400
2900,FU,FU400,WT,-15.77967279,145.2874247,10-Aug-08,2008,1/01/2002,3,296,400,WT400,lowland,1,1,0,0,0,0,2,NA,5,0,0,0,0,0,2,3,0,NA,0,0,0,4,1,0,NA,0,0,0,6,NA,0,0,2,0,2,1,NA,0,4,0,0,0,8,0,FU400
2543,WU,WU1200,WT,-16.23102651,144.9815795,29-Jun-09,2009,1/01/2002,3,1171,1200,WT1200,upland,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,WU1200
2555,WU,WU1200,WT,-16.22893026,144.9825268,29-Jun-09,2009,1/01/2002,3,1172,1200,WT1200,upland,1,1,0,0,0,6,0,0,1,0,1,0,0,0,3,0,0,0,1,3,3,NA,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,WU1200
2556,WU,WU1200,WT,-16.22852635,144.98471,29-Jun-09,2009,1/01/2002,3,1178,1200,WT1200,upland,1,1,0,0,0,4,0,0,1,0,1,0,0,1,4,0,0,0,0,1,3,NA,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,7,0,0,0,WU1200
771,AU,AU1000,WT,-17.70615356,145.5267359,11-Dec-97,1997,1/01/2000,1,841,1000,WT1000,upland,1,1,0,1,5,2,3,4,0,0,2,4,2,0,2,0,2,0,4,0,2,NA,0,0,0,2,0,1,1,0,0,0,1,0,3,5,1,4,0,0,4,1,0,0,AU1000
