,X,year,MSI,sd_MSI,lower_CL_MSI,upper_CL_MSI,Trend,lower_CL_trend,upper_CL_trend,trend_class,indicator
1,1,2000,103.77,0,103.77,103.77,100,97.22,102.2,moderate_increase,Lowland species in the lowlands
2,2,2001,101.77,2.37,97.24,106.52,104.69,102.2,107.44,moderate_increase,Lowland species in the lowlands
3,3,2002,99.98,4.6,91.36,109.4,108.98,105.32,112.95,stable,Lowland species in the lowlands
4,4,2003,126.42,5.19,116.66,137,112.85,108.52,117.56,stable,Lowland species in the lowlands
5,5,2004,108.85,4.69,100.04,118.43,116.08,111.83,121.14,stable,Lowland species in the lowlands
6,6,2005,114.51,4.84,105.42,124.39,117.93,112.95,122.36,stable,Lowland species in the lowlands
7,7,2006,136.15,5.64,125.53,147.66,118.97,114.09,123.59,stable,Lowland species in the lowlands
8,8,2007,108.24,4.58,99.64,117.59,119.41,115.23,123.59,stable,Lowland species in the lowlands
9,9,2008,122.4,5.14,112.74,132.89,119.87,115.23,124.83,stable,Lowland species in the lowlands
10,10,2009,112.48,4.92,103.25,122.54,121.45,116.39,126.09,stable,Lowland species in the lowlands
11,11,2010,124.81,5.22,114.99,135.48,122.38,117.56,127.35,stable,Lowland species in the lowlands
12,12,2011,137.24,5.95,126.07,149.4,122.07,117.56,127.35,stable,Lowland species in the lowlands
13,13,2012,124.19,5.29,114.23,135.01,121.69,117.56,126.09,stable,Lowland species in the lowlands
14,14,2013,102.3,4.47,93.91,111.46,121.19,116.39,126.09,stable,Lowland species in the lowlands
15,15,2014,116.36,4.93,107.09,126.44,120.23,116.39,124.83,stable,Lowland species in the lowlands
16,16,2015,138.3,5.73,127.51,150,118.86,112.95,124.83,stable,Lowland species in the lowlands
17,17,2016,110.91,5.16,101.24,121.5,117.26,109.61,126.09,NA,Lowland species in the lowlands
18,1,2000,105.48,0,105.48,105.48,100,94.95,105.99,moderate_increase,Lowland species in the midlands
19,2,2001,130.43,8.12,115.44,147.37,110.15,104.94,114.82,moderate_increase,Lowland species in the midlands
20,3,2002,119.58,6.16,108.1,132.29,125.24,118.32,132.08,moderate_increase,Lowland species in the midlands
